KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
statusnet-lebsanft-org,statusnet-lebsanft-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-ludost-net,statusnet-ludost-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-m-kuttner-com,statusnet-m-kuttner-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-mamalibre-com-ar,statusnet-mamalibre-com-ar,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-mrblog-nl,statusnet-mrblog-nl,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-mulestable-net,statusnet-mulestable-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-my-status-tk,statusnet-my-status-tk,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-ourcoffs-org-au,statusnet-ourcoffs-org-au,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-panda-id-au,statusnet-panda-id-au,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-postblue-info,statusnet-postblue-info,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-qdnx-org,statusnet-qdnx-org,,[],False,1,0.0,1,0.33,0,1,0.56,1,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.31,0
statusnet-russwurm-org,statusnet-russwurm-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-samnoble-org,statusnet-samnoble-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-scoffoni-net,statusnet-scoffoni-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-shnoulle-net,statusnet-shnoulle-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-skilledtests-com,statusnet-skilledtests-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-somsants-net,statusnet-somsants-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-spip-org,statusnet-spip-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-ssweeny-net,statusnet-ssweeny-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-thelovebug-org,statusnet-thelovebug-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-thornton2-com,statusnet-thornton2-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-timttmy-co-uk,statusnet-timttmy-co-uk,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-tl1n-com,statusnet-tl1n-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-tschlotfeldt-de,statusnet-tschlotfeldt-de,,[],False,1,0.0,1,0.33,0,1,0.56,1,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.31,0
SudershanTech,SudershanTech,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
vivo,VIVO,,[],False,1,0.0,1,0.56,0,1,0.59,1,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.59,0
vivo-weill-cornell-medical-college,VIVO Weill Cornell Medical College,,[],False,1,0.0,1,0.44,0,1,0.57,0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
